,All descriptor,-Crystal part, -CW,-Structure, -Statistical part,Crystal part,CW,Structure,Statistical part,Crystal+CW
SVR,2.572479471903926,2.6853051194465793,3.5613732998789756,2.545835084966039,2.6599199533366176,4.327262937978207,3.6324152289672442,4.6486183983299405,4.470614920323483,2.6615538431990746
FC,2.3503013173304663,2.3936760924089544,3.1416785628370554,2.275072921579493,2.294886688555245,4.243493569016783,3.774354315076853,4.272653397434683,4.540211976916052,2.2028077498257868
KRR,2.472099733869218,2.82790805890129,3.335024817542946,2.5374871459588184,2.283492308045433,4.500226302446033,3.5300765496015734,4.403096630245012,4.328938511604555,2.3472266741425893
XGBoost,2.239315813416389,2.519236516404407,2.9317246816396687,2.191797805973925,2.229821411520569,3.843137569211508,3.4098833619260804,4.08620087582738,4.1538198860904965,2.1326042263646934
