,ort,tet,hex,cub
SVR,0.24190059485292337,0.2364658139464535,0.272695773736917,0.3852404475150939
FC,-3.3484421759625693,-3.6350376066816406,-1.9034143184899759,-0.5084113794144398
KRR,0.9228369070883871,0.88705654657115,0.950476809381568,0.9120933786284369
XGBoost,0.9634181847704707,0.8998764370246745,0.9486170527856945,0.9178962539116524
