agl_thermal_conductivity_300K,agl_debye_temperature,agl_heat_capacity_Cp_300K,agl_heat_capacity_Cv_300K,agl_thermal_expansion_300K
0.374912,101.06,12.9309,11.9395,0.000104126
0.378636,161.929,63.9991,59.2243,0.000118813
0.383448,120.935,19.6295,17.8723,0.00013538
0.384344,202.836,114.283,105.777,9.868e-05
0.387487,229.128,117.237,108.127,0.000121444
0.393536,133.049,45.3286,41.6394,0.000130103
0.393111,117.089,20.0923,17.8859,0.000186265
0.395585,87.0734,3.78274,2.99085,0.000455771
0.395962,122.08,13.5796,11.9178,0.000219013
0.400067,127.976,12.5601,11.8992,7.80176e-05
0.401606,125.028,9.48237,8.92894,9.36008e-05
0.403095,137.088,6.65051,5.94689,0.000150374
0.406845,207.097,122.403,117.34,6.00147e-05
0.408966,173.027,50.2097,47.2754,7.08892e-05
0.411981,236.914,169.633,151.82,0.000201958
0.413473,173.181,29.9406,26.6204,0.000161414
0.417487,220.963,70.1644,67.259,5.50878e-05
0.418595,189.981,122.389,117.746,5.43069e-05
0.422812,211.054,122.643,117.257,6.63588e-05
0.423076,181.037,52.0917,50.1348,5.26705e-05
0.423853,100.004,7.25297,5.9749,0.000277625
0.427452,201.077,51.5907,47.0519,0.000127931
0.431334,147.961,51.5171,47.4873,0.000121615
0.431542,182.844,58.1295,53.1231,0.000132761
0.437924,135.912,51.3276,47.562,0.000112445
0.435949,131.082,29.9613,26.7827,0.000157831
0.426053,151.152,29.9107,26.7082,0.000154591
0.439497,139.065,50.0619,47.5273,7.42719e-05
0.440929,87.9319,7.15507,5.97995,0.000249116
0.43998,108.99,13.1294,11.9322,0.000135489
0.440108,231.906,51.2287,46.7384,0.00012898
0.440152,104.939,16.441,14.9205,0.000147201
0.440949,140.063,9.51077,8.91153,7.46086e-05
0.448106,143.076,38.1593,35.6325,9.53613e-05
0.448908,201.985,88.3343,82.2866,0.000112543
0.450123,172.132,52.3632,47.3249,0.000163194
0.451218,133.031,26.8439,23.8045,0.000205515
0.452166,193.109,40.4582,38.2602,7.77866e-05
0.452303,155.118,33.2392,29.6573,0.0001485
0.453402,140.008,29.2457,26.7419,0.000122202
0.453657,190.037,88.2658,82.4901,0.000109067
